"X","Bintang","Pengguna","Komen","Tanggal"
17,"Rated 5 stars out of five stars","Purwani Febriyanti","Great apps !! So helpfull to find groceries without leaving home, please add more meat, fish and protein. Keep it up !!!",2019-12-27
18,"Rated 5 stars out of five stars","Omar A","Good quality of product, always satisfied. Variants of fruits and vegetables are the best.",2019-12-28
19,"Rated 5 stars out of five stars","arlista putri","Easy apps, a lot of promo, the messenger are kind, valuable price, and absolutely plasticless",2020-01-22
20,"Rated 2 stars out of five stars","Maylisa Putri","There a problem with the app.. The app immediately closes when i press a feature or search for something.",2019-12-14
21,"Rated 5 stars out of five stars","Firstari Vashti","A new way to restock the fridge without leaving the house. Very helpful. App works very well. The chat feature also works well. The costumers service respond to the chat quickly.",2019-11-15
22,"Rated 5 stars out of five stars","Zakia Syifa","Very convenient! Suitable for working households who like to come home late and no time for grocery shopping!",2019-12-18
23,"Rated 1 stars out of five stars","Felisia F","Always network error Even I have good signal and switched to my mobile data. What does the matter?",2020-01-16
24,"Rated 5 stars out of five stars","Surya Baskara","It was worked, I got my package in two days, even though I've just order promotion items, thank you sayurbox, it was very helpful",2020-01-28
25,"Rated 5 stars out of five stars","dede setianingsih","Fast delivery, cheaper than supermarket, and the important thing is the vegetables is very good condition. Thanks",2019-12-28
26,"Rated 5 stars out of five stars","Winda Ayu","So helpful apps that bring real food for everyone with the best price! Love your promos! ♥️",2020-01-05
27,"Rated 5 stars out of five stars","Irine Natalia","Good app to buy groceries, I get lots of promo here and the price is cheap. Suggestion: should add more meat selection, and some UI elements are slow when clicked.",2019-12-05
28,"Rated 1 stars out of five stars","Sundari Ika Binarti Ika","Not all the fruits n vegetables are fresh and good",2020-02-11
29,"Rated 5 stars out of five stars","Niena Khotimah","It's very easy to use. And very convinence to order veggies and fruit with this app. Love it!",2019-10-31
30,"Rated 5 stars out of five stars","Vina Ikawati Agustin","This apps really helps me to buy fruits when im just too lazy to go out to supermarket or to a market. Thankyou sayurbox ❤",2020-02-17
31,"Rated 5 stars out of five stars","Clarissa Irene","Good veggies and fruits, with convenient delivery method. Love it!",2019-10-31
32,"Rated 5 stars out of five stars","Jenie Kesuma","Service ok, akan repeat order",2020-03-08
33,"Rated 1 stars out of five stars","Mustika D Ratnaningrum","Whenever i push the chekout button, the app is always suddenly closed. So until now i cant't buy anything. Pls fix this. I use samsung A9 2018 btw",2019-11-19
34,"Rated 2 stars out of five stars","leadsin99er","Sometimes packaging is bad. Vegetables arrive wet inside plastic. It Rots when it's supposed to be wrapped in paper. Sometimes quality of fruits amd veges arent gd. Esp the discounted ones. Also. quite a few missing items AFTER u paid for ur order. u dont get a refund but a voucher. They have too li...
Full Review",2019-12-13
35,"Rated 5 stars out of five stars","Nurul Habibah","Very good app for simple person its easy to use. good quality product. Thank you",2019-11-11
36,"Rated 5 stars out of five stars","SWASTIKAYEYOO","It is such a good aplication.. So helpful and the price is make me happy to shop here.. Thankyou.. Keep improving yourself, sayur box!! 😁",2019-11-25
37,"Rated 5 stars out of five stars","Mariani Dewi","Fast delivery. Considerably reliable product quality.",2019-12-17
38,"Rated 5 stars out of five stars","anis kamilah","Very easy and helpful apps, I just wish they will expand the delivery area...",2019-10-29
39,"Rated 5 stars out of five stars","nana nury","Great service, fresh fruits and veggies and the price as affordable as in the traditional market",2019-12-10
40,"Rated 5 stars out of five stars","Beni Ananto","Sayurbox helps me easier for shopping vegetables and fruits.",2019-12-24
41,"Rated 5 stars out of five stars","C Stmrg","Good app and easy to use. Very convenient",2019-11-23
42,"Rated 5 stars out of five stars","alexandra veranika","The application is easy to use. Love it ! 😊👍",2019-12-22
43,"Rated 5 stars out of five stars","Muhammad Khalid","Easy way to order fresh produce, farm to table!",2019-11-21
44,"Rated 1 stars out of five stars","Elia Cokorudy","I installed this app based on a recommendation of a friend but I was extremely disappointed on my first experience. I received moldy grape & I did not receive an item which I paid already. I emailed the customer care but did not get any response. I texted the customer care through the app, they aske...
Full Review",2020-01-05
45,"Rated 5 stars out of five stars","Arlene Awuy","Helpful apps to buy healthy veggies for your needs",2019-11-05
46,"Rated 5 stars out of five stars","Panca Nugraha Wulansari","Good service..fast delivery and fresh vegetable 👍👍👍👍",2019-10-26
47,"Rated 5 stars out of five stars","Wully Ramadhani","Good quality of product n easy application to use",2019-11-25
48,"Rated 5 stars out of five stars","venissa cuputra","Very good and usefull",2020-03-05
49,"Rated 1 stars out of five stars","Sindhu Subramanya","Please chk ur app. Not able to do anything. The review screen keeps poping for everything.",2019-12-11
50,"Rated 5 stars out of five stars","Melisa Andriani","Great! Helpful service",2020-02-23
51,"Rated 4 stars out of five stars","Diana S","1 of my order stuck in progress, cant end",2020-02-29
52,"Rated 4 stars out of five stars","Yusuf Rahmadi","Should have a feature which user can save their address instead always typing in every order",2019-11-28
53,"Rated 4 stars out of five stars","ridha ikhsan","The shopping system is good",2019-12-23
54,"Rated 5 stars out of five stars","Rakesh Sharma","Delivery is great. On time. Quality is good. And Prices are very reasonable.",2019-12-30
55,"Rated 5 stars out of five stars","Eva Andreanty","Easy for buy vegetables and fruits .... and good quality 👍👍👍, the aplication user friendly but please give us the more more others item for fruits and vegetable. Thanks Sayurbox..... you help my family for buying all we are need.",2019-11-04
56,"Rated 5 stars out of five stars","Jones Ordinary","I really love it, the apps, the service.. no doubt",2019-12-11
57,"Rated 5 stars out of five stars","eduardgoody","A practical and easy way to shop for groceries. decent amount of choices of items with fair pricing. They also have a ""Less Plastic"" delivery option, which comes in a paper bag. Although, the content still have a few plastic (e.g. bubble wrap), but it is understandable. The delivery is spot on. Over...
Full Review",2019-09-17
58,"Rated 5 stars out of five stars","theresia butarbutar","It's help a lot for person who is rare go to supermarket.",2020-01-04
59,"Rated 4 stars out of five stars","Muli Muljati","Always got refund bcs of unfulfilled items",2020-02-20
60,"Rated 5 stars out of five stars","Moe A.","grear convenient app for fresh veggies",2019-12-28
61,"Rated 5 stars out of five stars","Sylviana V Sundoro","Fress veggies and fruits to my door aaannnddd good value of money! Love it!",2019-12-17
62,"Rated 5 stars out of five stars","sri tutio","Very helpfull application",2020-02-26
63,"Rated 5 stars out of five stars","Lailani Ananda Putri","Good apps...great vegie n fruits...satisfied...thanks..",2020-01-08
64,"Rated 5 stars out of five stars","Savira Vira","Dear Sayurbox, The application in the App store is very friendly to use, we can easily check the goods and order them efficiently. But sometimes when you go to the special promo tab, it can be pending for a few minutes and sometimes cannot open the tab. So far, I'm very helpful with sayurbox, the fr...
Full Review",2019-03-25
65,"Rated 5 stars out of five stars","Mutia Kurniasari","One of the most trusted shop for fresh product 👍",2019-12-25
66,"Rated 5 stars out of five stars","Syakiroh Syauqi","I'm waiting for payment method at this app using VA BNI Syariah or BNI Syariah transfer Bank. Well, I support it's useful apps where we can find an organic food and without plastic packaging... Always steadfast in your innovation",2019-10-04
67,"Rated 5 stars out of five stars","Gilang Permatasari","Nice app, nice quality. Thanks",2020-01-26
68,"Rated 5 stars out of five stars","Riska Rahmayanti","Fast delivery,,good packaging n product,,",2019-11-23
69,"Rated 5 stars out of five stars","Fahmi R A","Very useful, competitive price, on time delivery, and good fruits, vegetables",2019-09-22
70,"Rated 5 stars out of five stars","Rhendy Caesar","Great app, make it easy to but fruits and veggies. Stuff are fresh, good one! Sekarang jd rajin makan buah dan sayuuurr, makaaasih sayurbox!",2019-09-13
71,"Rated 5 stars out of five stars","Angelita Palisoc","Very useful app especially for those people who wants to adopt a healthier lifestyle. All freshly delivered to your home. Loved it!",2019-09-16
72,"Rated 2 stars out of five stars","Rama Tri Antono","They REALLY REALLY REALLY need to work on the apps. it doesn't work, it kept reloading every time i open it, spoke with their customer service but no improvement whatsoever until today. hope they sort this issue at the soonest, cos it gave unpleasant experience",2019-05-29
73,"Rated 5 stars out of five stars","diana kusuma","Br pertama kl coba beli nih. Great deal.easy used app",2019-10-29
74,"Rated 5 stars out of five stars","Unch Things","Fresh and affordable products. I can live a healthy life from now on Buttt, the app is a little bit suck. I cannot use it using community network wifi.",2019-11-06
75,"Rated 5 stars out of five stars","Widya","The app works properly and easy to use. Helping me to get super fresh fruits n vegetables with good quality, good price, and on time. Appreciated the packing. It use paper instead of plastic.",2019-03-09
76,"Rated 3 stars out of five stars","Azzam Al Hadiq","app quite good, transaction was success, and delivery as expected, but ui/ux can be improved, for example when completing address, the province option cannot being change except from the calendar option its give hassle for me. and some text on button, report, etc was buggy, i cannot see. on android ...
Full Review",2019-08-17
77,"Rated 5 stars out of five stars","Alfi Azizah","Best and easiest way to get your needs in front of your door. Fresh veggies and fruits. Great package. Friendly customer services and couriers. Comfy-looking apps for shopping.",2019-11-08
78,"Rated 5 stars out of five stars","Ni Putu Saraswati Vradisca","one word. AMAZING. very easy, lot of discount (yes!i love discount!!), all the information and instructions are very clear, the app's design is very neat. i just love it, keep up the good work!",2019-07-24
79,"Rated 5 stars out of five stars","siti ismawati idris","first time using this kind of application and it have all i need, really easy to use and pay, and deliveries on time and more important is the vegetables/fruits/packaging is in fresh condition.",2019-03-21
80,"Rated 4 stars out of five stars","T W","This app really helps me to live a healthier lifestyle, I can order fruits and get them delivered to my home. Sometimes the promo doesn't open no matter how long it loads. Need to fix this.",2019-04-28
81,"Rated 5 stars out of five stars","sharfina justicia","Very helpful for busy workers that want to stay healthy. The best is, its super efficient, just click and voila! Your groceries is arrived at your place the next day. Super quick and easy",2019-09-12
82,"Rated 5 stars out of five stars","mellyana lim","Love this application.Always delivery fresh fruits and vegetables.",2019-10-19
83,"Rated 5 stars out of five stars","Toni Pegipegi","Super convenient! All the instruction is very helpful. I never imagined that buying groceries could be this seamless. There are also many promos!!",2019-09-12
84,"Rated 5 stars out of five stars","Rosevin Aquinaldi","Friendly user and quite various vegie and fruit . Really usefully for working mother like me 👍😁",2019-12-08
85,"Rated 1 stars out of five stars","Aki Baihaki","Fundamental issue is inconsistent base measurements. sometimes the price is per kg, 1/2 kg, some grams. Confusing (and cheating marketing tactics?) and if this app cannot go international because in some country it's against the law to not follow standard base measurement.",2019-07-06
86,"Rated 5 stars out of five stars","mulyara","Good application, easy to navigate, fast",2019-10-12
87,"Rated 5 stars out of five stars","wismi nurisdiani","Helpfully apps for working wife/mom. Safe energy, and time. Makes all thing simple",2019-11-03
88,"Rated 5 stars out of five stars","Ve Ll","great product. affordable price and fast delivery!",2019-10-04
89,"Rated 5 stars out of five stars","Nirwanto Maingkolang","Fresh! Happy to help local farmers.",2019-12-13
90,"Rated 5 stars out of five stars","ZeKKe Games","Please add Central Java because I really need this app, thank you",2019-11-14
91,"Rated 5 stars out of five stars","mia puspita","Very nice app easy to use..i like it",2019-11-21
92,"Rated 1 stars out of five stars","Diajeng Ayu","I cannot order anything because the apps always closed suddenly",2019-11-30
93,"Rated 5 stars out of five stars","masagus ridwan","I love sayurbox. Very user friendly",2020-01-10
94,"Rated 5 stars out of five stars","ayu pratiwi","Have been using this app a few times now to do my groceries. Never been disappointed!",2019-09-20
95,"Rated 5 stars out of five stars","Elvina Kurniawati","this application makes it very easy for me to get used to a healthy life and buying the best quality vegetables and fruits",2019-03-25
96,"Rated 2 stars out of five stars","Reinaldo Gunawan","please provide re-order feature and allow option to cancel entire order if any product is missing instead of giving store credit for missing item(s). i will give 5 stars once these features are deployed. thanks.",2019-06-20
97,"Rated 5 stars out of five stars","Shiv kumar Garg","Good app speciallt for certain item you cant find in pasar can find here, need to add more fruits like apple and other",2019-09-16
98,"Rated 5 stars out of five stars","Syahrina Pahlevi","One of the best groceries. So easy and always on time.",2019-10-02
99,"Rated 5 stars out of five stars","Qurratu Aini Firdausi","Nice UI, great quality product, and has pretty wide selection of items.",2019-08-25
100,"Rated 5 stars out of five stars","Nurul Hanifa","Very recommended!! Sayurbox always deliver fresh vegetables & fruits Very helpful especially for workers who want to consume fruits and vegetables for healthy living, many promos and free shipping without having to bother spending time to shopping and carrying groceries.",2019-03-25
101,"Rated 5 stars out of five stars","Bena Gannie","Great service , on time delivery n for sure fresh veggies n fresh fruits...",2019-09-28
102,"Rated 5 stars out of five stars","Ajeng Ghina Farhani","Easy to use,lots of different payment options, having option to have your products packaged without plastic.",2019-07-25
103,"Rated 5 stars out of five stars","ODD Journey and diary","Always satisfied with their services. Helpful apps so far. Keep up the good work.",2019-03-12
104,"Rated 5 stars out of five stars","Arif Zamani","Good apps, easy to use and love the quality of fruits and vegies here",2019-11-14
105,"Rated 5 stars out of five stars","Marcelia Femi","love this application. make me easier to buy fruits and veggie without going to supermarket. the price are good too. thanks.",2019-07-20
106,"Rated 1 stars out of five stars","Simon S","cannot input address for checking out. very frustating. i followed the example of address writing instructed but still nothing changed",2019-09-09
107,"Rated 5 stars out of five stars","Adiyani Rahmanulia","Love the service and also the product from sayurbox... Note that the CS from app have fast response....... will repeat the order from this Sayurbox...",2019-10-20
108,"Rated 1 stars out of five stars","Rolis","Mulia sekali misinya memberdayakan petani... Too good to be true",2019-11-13
109,"Rated 2 stars out of five stars","Chyntia Leola","Can't search or choose the food",2020-01-16
110,"Rated 5 stars out of five stars","Christina P","very useful apps. Sayurbox makes shopping fruit and vegetables easier.",2019-03-26
111,"Rated 1 stars out of five stars","annanovalia dewii","I've ordered and finished the payment on sunday, The order should be delivered on tuesday at 06-09 AM.. Well, Its already at 1 PM and my order hast delivered until now. Bad system, bad services and no option to do. Refund. No tracking order either. What an experiences to order in here.",2020-02-04
112,"Rated 5 stars out of five stars","Dwi Ajeng Zahrotun Noor","top quality. always get fresh tempe. it still warm when they sent. keep up good work:)",2019-07-24
113,"Rated 5 stars out of five stars","Lenny Tan","easy to use. pengantaran barang jg tepat waktu. good app :)",2019-09-14
114,"Rated 5 stars out of five stars","santy","super easy to apply, nice packaging, good choice of vegetable, good price",2019-05-01
115,"Rated 5 stars out of five stars","ike herningtyas","first order and satisfied. delivery on schedule, and the products are fresh.",2019-07-12
116,"Rated 5 stars out of five stars","Maria M. Dolorosa Farah Diena","I like the concept behind it very much. There's not that many options here to be able and apply farm-to-table. I had an issue regarding delivery the first time, but I decided to give it a second chance and they made it up! the produce is complete fresh, the price is highly competitive and I love tha...
Full Review",2019-07-27
117,"Rated 5 stars out of five stars","Karinina Putri","Good local quality fresh produce. Easy payment and attentive customer service. Fruits could use more variety. Could also start thinking about reducing/substituting plastic altogether for some customers (like me!). Substitute paper bags for nylon nets, leftover cardboard for styrofoam, cotton strings...
Full Review",2019-09-30
118,"Rated 3 stars out of five stars","Tanthrie Julia","the service is ok but poor application, loading and does work, i lazy to use this app because of very difficult to load fruit or vegetable.. please fix the apps",2019-04-08
119,"Rated 1 stars out of five stars","alvin reinanda","Useless. Loading never ending. Love the products and promos but the app is wrost..",2019-05-30
120,"Rated 5 stars out of five stars","Ricks Flanel","Rocking app for grocery shopping",2019-11-16
121,"Rated 5 stars out of five stars","Widya Adi Tjahjono","Fast and helping us to get vegetables",2019-11-30
122,"Rated 3 stars out of five stars","A Google user","The old version was working fine. New version is lagging",2018-11-13
123,"Rated 5 stars out of five stars","Vidyani Ratna","Amazing fresh fruits and not pricey. Great job! 😊😊👍",2020-03-06
124,"Rated 5 stars out of five stars","Susanti Lien","the products are fresh and with reasonable price..",2019-03-27
125,"Rated 5 stars out of five stars","Raven Winguard","Very affordable veggies and fruit! Though quality is not the best, but they are fresh and buying feom them helps local farmers tons!!",2019-09-02
126,"Rated 5 stars out of five stars","Ritu ranjan","Fresh veggies with Nice packing....love to order again and again",2019-10-07
127,"Rated 5 stars out of five stars","Ima Ananda","Freshness at our door everyday. Wow! Thank you sayurbox.",2019-12-04
128,"Rated 5 stars out of five stars","Dwi Budiarti","It helps me a lot for my fresh groceries...Good quality product help the community and not to forget excellent service...",2019-09-13
129,"Rated 5 stars out of five stars","amy putri","On time delivery, fresh products on fruits and veggies, great prices, good packaging. Definitely reorder!!",2019-08-17
130,"Rated 1 stars out of five stars","Aimee Huang","Hi the quality of the vegetables drop significantly, the mushrooms are rotting and the kangkung i bought today are all yellowish, used to be not like this but slowly detoriating. What happened?",2019-12-27
131,"Rated 5 stars out of five stars","Indra Nugraha","Good services, reliable and ontime.",2019-10-03
132,"Rated 5 stars out of five stars","Dyan Oktavia Rindhu Shinta R.","user friendly, simple, usefull, fresh item",2019-03-29
133,"Rated 4 stars out of five stars","Irma Martam","sometimes it is very slow to open the page",2019-04-01
134,"Rated 5 stars out of five stars","Feby Indriyani","it is a great apps for working women. fresh veggies fruits, plenty of choice,fast delivery",2019-03-26
135,"Rated 5 stars out of five stars","astrid siska","Great apps..thanks👍😊",2019-12-14
136,"Rated 5 stars out of five stars","Rahmi Kurnia Sari","Very helpful for everyone, farmer and customer, super recommended!",2019-09-08
137,"Rated 5 stars out of five stars","Rafieza Roslan","Sayurbox is a good app where I can bought fresh vegetables and fruits. Very recommended.",2019-04-08
138,"Rated 5 stars out of five stars","Nilesh Kumar","Good, fresh fruits and vegetables. Easy ordering and delivery experience. Keep it up!",2019-08-28
139,"Rated 5 stars out of five stars","rani amas","Make grocery shopping easier! Few taps only and your order will be delivered asap! (there're 3 days delivery choices) Have some bad experience/(unfortunately)bad groceries? No worries! tell them via email/ig/whatsapp, soon you will get not only a nice response but also shopping voucher as a return, ...
Full Review",2019-03-17
140,"Rated 5 stars out of five stars","Rizky Nurkhaerani","Good product good service",2019-11-10
141,"Rated 5 stars out of five stars","Rohani Sinambela","Great app. Fast and secure",2019-09-12
142,"Rated 5 stars out of five stars","Syenit Enita","Very helping, no plastic package, i love it!",2019-09-08
143,"Rated 4 stars out of five stars","Julia Herlina","love the apps, do not have to go but can have fresh veggies delivered",2019-03-26
144,"Rated 5 stars out of five stars","Prima Anindratia","The best...effective and efficient, very helpful..",2019-09-15
145,"Rated 5 stars out of five stars","Amelia Jesslyn","Awesome and excellent service and quality",2019-10-07
146,"Rated 5 stars out of five stars","LNio","10/10 excellent products, excellent service and fast delivery",2019-05-17
147,"Rated 5 stars out of five stars","endahtrikusumawati","delivered on time. wonderful packaging. Love it",2019-05-28
148,"Rated 3 stars out of five stars","Sandra","i hope you fix the customer service chat section. my chat didn't get reply at all",2019-02-02
149,"Rated 5 stars out of five stars","rizano bunai","great app, win win solution for farmers to sell their product and vendor to develop this app. what are u waiting for? click order, buy, paid and your fruit and vegetable will delivery to you. you are what you eat.",2019-03-10
150,"Rated 5 stars out of five stars","Diah Rahmaningrum","Very helpful for stay at home mom ,but I hope ,is there any ""cash on delivery"" option for payment methods. Thanks you 😊",2019-11-15
151,"Rated 5 stars out of five stars","Dewinta RKW","Excellent service, price and quality of the products",2019-04-20
152,"Rated 5 stars out of five stars","Dar Wati","First order and so far satisfied with the product.",2019-07-05
153,"Rated 5 stars out of five stars","risma handayani","nice applocation, very help to get good fruits and vegetables easily",2019-08-15
154,"Rated 5 stars out of five stars","Windy Agnestien","Fresh items deliver with plastic-free packaging. Love it",2019-08-31
155,"Rated 3 stars out of five stars","Natalia Komalasari","Error occur everyday without any reason.",2019-04-20
156,"Rated 5 stars out of five stars","Yusuf Pambudi","Good quality of the product and arrived on time",2019-09-05
157,"Rated 5 stars out of five stars","Cicilia Ayu","Good app, easy to use and really helpful",2019-05-04
158,"Rated 5 stars out of five stars","Florentina Alexandra","Nice app and easy operating. Helo us to get our fresh vegies and fruits",2019-03-25
159,"Rated 5 stars out of five stars","sugeng sugiarto","Simplest way to get your healthy vegs & fruits",2019-12-01
160,"Rated 5 stars out of five stars","Susy Tan","fresh, easy and a lot of option",2019-06-27
161,"Rated 5 stars out of five stars","Dennis Paramita","fresh products with reasonable price and yes free delivery with minimum amount",2019-03-25
162,"Rated 4 stars out of five stars","anisa nurkumalasari","Best values, best shipments and best fruits veggies😋",2019-09-15
163,"Rated 2 stars out of five stars","Harris Yonatan","Customer service did not reply at all. Some chosen products suddenly disappeared during checkout. No confirmation if you have received the payment.",2019-09-10
164,"Rated 5 stars out of five stars","Nabila Kharimah Vedy","Great application for supporting local products and farmers!",2019-09-10
165,"Rated 5 stars out of five stars","Mirza Annisa Izati","helpful app to order quality local fruits and vegetables",2019-03-25
166,"Rated 5 stars out of five stars","Valentina Purba","Just Wow. Many fruits are cheaper here than in traditional market and supermarket. And you can choose packaging without PLASTIC. Good Idea!",2019-09-04
167,"Rated 5 stars out of five stars","Yiska Kumaladewi","Excellent service. Reliable delivery. Good quality.",2019-09-12
168,"Rated 1 stars out of five stars","Anin Dya","Terrible, after first transaction, i uninstall the app...better go to traditional market...",2019-01-20
169,"Rated 5 stars out of five stars","Meylina Dinar","Delivery on time. Product in fresh condition",2019-06-26
170,"Rated 5 stars out of five stars","Dee Dee","hassle free shopping for fresh products",2019-03-25
171,"Rated 5 stars out of five stars","Nur Kamari Fitri","Thankyou.. Great app",2019-11-15
172,"Rated 5 stars out of five stars","Miranti Arifin","Fresh fruits, excellent choice of veggies, thumbs up",2018-11-26
173,"Rated 5 stars out of five stars","Nadzifah Zubair","easy fast great variety of products 👌",2019-05-12
174,"Rated 5 stars out of five stars","Firda Anwar","They never failed to amaze me with their fresh produces and often comes with surprise gift. Sayurbox are my go to apps for fresh fruit and veggies 👍",2018-11-18
175,"Rated 5 stars out of five stars","Ping Pribadi","Great supply and quality. I keep looking for new product too.",2019-12-04
176,"Rated 5 stars out of five stars","muslimah tri","great quality & in time delivery. thanks",2019-07-09
177,"Rated 5 stars out of five stars","Bernadet Krisma","good application to order fruit, vegetables, and others",2019-04-04
178,"Rated 5 stars out of five stars","Elvita Dewi","Very helpful and the quality product are very good",2019-09-04
179,"Rated 5 stars out of five stars","elsa restriana","Very useful app",2020-02-03
180,"Rated 5 stars out of five stars","Dila Arwati","Helpful and easy to use",2019-03-22
181,"Rated 1 stars out of five stars","Alan Alaidin","(Nov 2019) , tried sayurbox 2 times. Both BAD. Not worth the savings. BAD quality of fruits. Another app that should be AVOIDED. (Be careful with what you EAT... you deserve more) . If you are into quality and freshness, sayurbox is OUT.",2019-12-03
182,"Rated 5 stars out of five stars","Hexa Martinus Barus","this is an amazing app!!!!",2020-02-12
183,"Rated 5 stars out of five stars","Labora Aruan","usefull,time efisiency,please maintain price n quality",2019-03-31
184,"Rated 5 stars out of five stars","Hilman Sombrero","recommended, reliable..super!",2019-09-23
185,"Rated 5 stars out of five stars","sofia cia","Good. Thanks sayurbox. Thank for free papaya",2020-02-29
186,"Rated 5 stars out of five stars","Natalia Chandra","very practical app & fast response👍",2019-03-25
187,"Rated 5 stars out of five stars","Euis Syarifah","Good service, good fresh, excellent..",2019-08-30
188,"Rated 5 stars out of five stars","Fabiola Siregar","Helping my role as working mom easier. :)",2020-03-08
189,"Rated 5 stars out of five stars","alvia hgarra","good but some price is expansive even with discount",2019-08-18
190,"Rated 5 stars out of five stars","pato firmansyah","helpfull apps for buying fresh fruits and vegie from local farmer",2019-07-04
191,"Rated 5 stars out of five stars","Andi Hakim","Very excellent service and products quality",2019-08-27
192,"Rated 5 stars out of five stars","Nasya Angelica","Service is awesome & great usage of order",2019-08-29
193,"Rated 5 stars out of five stars","susi soedirdjo","A helpful app",2020-01-19
194,"Rated 5 stars out of five stars","Dhita Prima Lestari","Recomended online fresh market I thing...",2020-02-27
195,"Rated 1 stars out of five stars","Ardian Sapoetro","First time experience = really bad. Missing item without confirmation at all. After complaining, they give us voucher with the value of missing item, but I need to pay extra delivery cost. ???!!!",2019-01-30
196,"Rated 5 stars out of five stars","Silver Luna","Love the service so far.",2020-02-09
197,"Rated 5 stars out of five stars","Rufina Indraswari","sayur box always gives excellent service,ontime delivery good quality of fruits,veggies,and other foods as well. the apps just a simply,useful to pick goods we gonna buy..",2019-03-17
198,"Rated 5 stars out of five stars","Yuri","great quality and service",2019-10-11
199,"Rated 5 stars out of five stars","Simfonia Nugroho","helpful apps for shopping..",2019-06-11
200,"Rated 5 stars out of five stars","ika irawati","Having organic and healthy stuff in an easy way. Good job Sayurbox!",2019-04-08
201,"Rated 5 stars out of five stars","amelia ferrizni","The delivery was on time and the producs are good",2019-09-21
202,"Rated 5 stars out of five stars","Meidar","Great app to start our healthy life style.",2019-08-29
203,"Rated 5 stars out of five stars","dewi antika","buying fresh product now become fun and easy. thanks sayurbox for helping working mom like me.",2019-03-25
204,"Rated 5 stars out of five stars","astrid indrajati","Love it. Helps a lot for working mom 😊",2019-10-25
205,"Rated 5 stars out of five stars","liskah meryana","so helpful to get the good food 👍",2019-04-13
206,"Rated 5 stars out of five stars","Arifin M. Susanto","So far, the app works very well",2020-01-21
207,"Rated 5 stars out of five stars","Eve Ca!n","The best online grocery shopping app 👌",2019-09-09
208,"Rated 5 stars out of five stars","Filda Widyaningtyas","Simple and useful app",2019-10-25
209,"Rated 5 stars out of five stars","Yumi Ryuki","good app!! helping a lot !!! thankyou",2019-07-28
210,"Rated 5 stars out of five stars","Grace Kartawijaya","Great apps! very helpful",2019-06-24
211,"Rated 5 stars out of five stars","Kartika Christiananda","Great experiences in buying cheapest products with good quality. This is my 2nd buying and will be the 3rd, 4th, 5th and so on.",2019-08-17
212,"Rated 5 stars out of five stars","Alfa Ananda","Really help me as a mom with a baby.",2020-01-26
213,"Rated 5 stars out of five stars","Ri Eu","good deal and good quality",2019-08-02
214,"Rated 5 stars out of five stars","louise kartika","good quality veggie and fruit",2019-03-27
